pickup_borough_grouped,trips,amount_usd,non_airport_trips,non_airport_amount_usd,non_airport_mean_usd,airport_trips,airport_amount_usd,airport_mean_usd,mean_usd,airport_trip_share
Bronx,113697,4069163.2599999998,113697.0000000000,4069163.2599999998,35.7895393898,0.0000000000,0.0000000000,,35.7895393898,0.0000000000
Brooklyn,553762,17617522.4200000018,553762.0000000000,17617522.4200000018,31.8142494790,0.0000000000,0.0000000000,,31.8142494790,0.0000000000
Manhattan,35241154,843199971.1299999952,35241154.0000000000,843199971.1299999952,23.9265709383,0.0000000000,0.0000000000,,23.9265709383,0.0000000000
Newark,1238,116723.4400000000,0.0000000000,0.0000000000,,1238.0000000000,116723.4400000000,94.2838772213,94.2838772213,1.0000000000
Queens,3644095,266588820.4300000072,515018.0000000000,25742749.9600000009,49.9841752327,3129077.0000000000,240846070.4699999988,76.9703239869,73.1563859971,0.8586705341
Staten Island,1462,65436.8000000000,1462.0000000000,65436.8000000000,44.7584131327,0.0000000000,0.0000000000,,44.7584131327,0.0000000000
Unknown,122470,4159508.7000000002,122470.0000000000,4159508.7000000002,33.9634906508,0.0000000000,0.0000000000,,33.9634906508,0.0000000000
